0,neg,neu,pos,
#mommy,0,1,0,
#ill,1,0,0,
#behappy,0,1,0,
#amigos,0,1,0,
#america,0,1,0,
won,0,0,1,
which,0,1,0,
vamos,0,1,0,
told,0,1,0,
till,0,1,0,
spent,0,1,0,
solo,0,1,0,
says,0,1,0,
road,0,1,0,
point,0,1,0,
living,0,1,0,
definitely,0,0,1,
ain't,0,1,0,
\u2606,0,1,0,
\u2605,0,1,0,
#thinking,0,1,0,
#smiley,0,0,1,
#game,0,1,0,
#follow4follow,0,1,0,
#curls,0,1,0,
#change,0,1,0,
#anniversary,0,1,0,
you'll,0,1,0,
wearing,0,1,0,
thursday,0,1,0,
store,0,1,0,
pour,0,1,0,
navidad,0,1,0,
might,0,1,0,
kitty,0,1,0,
half,0,1,0,
gorgeous,0,0,1,
facebook,0,1,0,
else,0,1,0,
cream,0,1,0,
both,0,1,0,
behind,0,1,0,
babies,0,1,0,
aw,0,1,0,
\u043d\u0430,0,1,0,
100,0,1,0,
#working,0,1,0,
#view,0,1,0,
#university,0,1,0,
#trees,0,1,0,
#sol,0,1,0,
#shit,1,0,0,
#room,0,1,0,
#ready,0,0,1,
#rainy,1,0,0,
#pose,0,1,0,
#paradise,0,0,1,
#ocean,0,1,0,
#nomakeup,0,1,0,
#newyork,0,1,0,
#iphoneonly,0,1,0,
#dj,0,1,0,
v,0,0,0,
nuevo,0,1,0,
nobody,0,1,0,
g,0,0,0,
flowers,0,1,0,
fans,0,1,0,
#walk,0,1,0,
#waiting,0,1,0,
#truestory,0,1,0,
#sand,0,1,0,
#please,0,0,1,
#mine,0,1,0,
#kisses,0,0,1,
#just,0,1,0,
#instaday,0,1,0,
#happyday,0,1,0,
#garden,0,1,0,
#france,0,1,0,
#florida,0,1,0,
#daddy,0,1,0,
#brazilian,0,1,0,
#artist,0,1,0,
water,0,1,0,
porque,0,1,0,
pain,1,0,0,
noche,0,1,0,
lang,0,1,0,
kinda,0,1,0,
holidays,0,0,1,
fast,0,1,0,
dogs,0,1,0,
different,0,1,0,
che,0,1,0,
beer,0,1,0,
art,0,1,0,
anak,0,1,0,
\u301c,0,1,0,
#top,0,0,1,
#share,0,0,1,
#run,0,1,0,
#remember,0,1,0,
#pug,0,1,0,
#one,0,1,0,
#instago,0,1,0,
#heaven,0,0,1,
#hangout,0,1,0,
#glee,0,0,1,
#fireworks,0,1,0,
#confused,1,0,0,
#at,0,1,0,
york,0,1,0,
worst,1,0,0,
wake,0,1,0,
taken,0,1,0,
ride,0,1,0,
passed,0,1,0,
maybe,0,1,0,
killed,1,0,0,
fire,1,0,0,
felicidad,0,1,0,
exactly,0,1,0,
domingo,0,1,0,
buddy,0,1,0,
bring,0,1,0,
ako,0,1,0,
\u266a,0,1,0,
\u0e01,0,1,0,
8,0,0,0,
2012,0,1,0,
#women,0,1,0,
#tomorrow,0,1,0,
#show,0,1,0,
#self,0,1,0,
#madrid,0,1,0,
#likes,0,0,1,
#haircut,0,1,0,
#cheese,0,1,0,
#broke,1,0,0,
#boo,0,1,0,
y'all,0,1,0,
win,0,0,1,
walker,0,1,0,
va,0,1,0,
started,0,1,0,
special,0,0,1,
soo,0,1,0,
semana,0,1,0,
s\u00f3,0,1,0,
running,0,1,0,
others,0,1,0,
lord,0,1,0,
linda,0,1,0,
kill,1,0,0,
hit,0,1,0,
haven't,0,1,0,
everybody,0,1,0,
d\u00edas,0,1,0,
cc,0,1,0,
app,0,1,0,
\u0e15,0,1,0,
:p,0,0,1,
13,0,1,0,
#swimming,0,1,0,
#simple,0,1,0,
#scared,1,0,0,
#rippaulwalker,0,1,0,
#presents,0,1,0,
#portrait,0,1,0,
#niece,0,1,0,
#im,0,1,0,
#humpday,0,1,0,
#everyone,0,1,0,
#ever,0,1,0,
#down,0,1,0,
#bright,0,0,1,
yg,0,1,0,
wasn't,0,1,0,
thanksgiving,0,1,0,
street,0,1,0,
san,0,1,0,
mundo,0,1,0,
gym,0,1,0,
green,0,1,0,
dos,0,1,0,
children,0,1,0,
celebrating,0,0,1,
assim,0,1,0,
amor,0,0,1,
:P,0,0,1,
#wet,0,1,0,
#webstagram,0,1,0,
#wah,0,1,0,
#tumblr,0,1,0,
#teen,0,1,0,
#mybaby,0,1,0,
#lazy,1,0,0,
#jj,0,0,1,
#iphone5,0,1,0,
#history,0,1,0,
#fact,0,1,0,
#f4f,0,1,0,
#disappointed,1,0,0,
#design,0,1,0,
#colorful,0,1,0,
#blood,0,1,0,
#besties,0,1,0,
#beard,0,1,0,
#angel,0,1,0,
sky,0,1,0,
single,0,1,0,
ppl,0,1,0,
ones,0,1,0,
officially,0,1,0,
men,0,1,0,
matter,0,0,1,
lets,0,1,0,
here's,0,1,0,
daddy,0,1,0,
cumple,0,1,0,
blessed,0,0,1,
_,0,0,0,
>,0,0,0,
9,0,0,0,
15,0,1,0,
#yeah,0,0,1,
#up,0,1,0,
#thoughts,0,1,0,
#sadface,0,1,0,
#rock,0,1,0,
#redlips,0,1,0,
#loser,1,0,0,
#instamoments,0,1,0,
#grey,0,0,1,
#dessert,0,1,0,
#california,0,1,0,
#byebye,0,1,0,
#batman,0,1,0,
#babygirl,0,1,0,
#all,0,1,0,
wine,0,1,0,
who's,0,1,0,
wall,0,1,0,
van,0,1,0,
under,0,1,0,
ugh,1,0,0,
three,0,1,0,
state,0,1,0,
shop,0,1,0,
mall,0,1,0,
laugh,0,0,1,
justin,0,1,0,
iphone,0,1,0,
http://deck.ly,0,1,0,
hoje,0,1,0,
h,0,0,0,
giving,0,0,1,
garden,0,1,0,
door,0,1,0,
cuz,0,1,0,
cumplea\u00f1os,0,1,0,
country,0,1,0,
#yo,0,1,0,
#vsco,0,1,0,
#valentines,0,1,0,
#thebest,0,1,0,
#sucks,1,0,0,
#quoteoftheday,0,1,0,
#office,0,1,0,
#lake,0,1,0,
#kuwait,0,1,0,
#him,0,1,0,
#hbd,0,1,0,
#cheers,0,0,1,
#books,0,1,0,
#animals,0,1,0,
yang,0,1,0,
valentines,0,1,0,
smiles,0,0,1,
number,0,0,1,
literally,0,1,0,
j'ai,0,1,0,
fit,0,0,1,
each,0,1,0,
drive,0,1,0,
choose,0,1,0,
child,0,1,0,
case,0,1,0,
\u0e36,0,1,0,
\u0329,0,1,0,
,-),0,0,1
30,0,1,0,
#vacaciones,0,1,0,
#training,0,1,0,
#sorrow,1,0,0,
#rainbow,0,1,0,
#outfit,0,1,0,
#movies,0,1,0,
#instafollow,0,1,0,
#instacute,0,1,0,
#illustration,0,1,0,
#hawaii,0,1,0,
#hashtag,0,1,0,
#harrypotter,0,1,0,
#future,0,1,0,
#festival,0,0,1,
#done,0,1,0,
#break,0,1,0,
wrote,0,1,0,
ver,0,1,0,
tired,1,0,0,
thoughts,0,1,0,
they're,0,1,0,
surprise,0,0,1,
sitting,0,1,0,
princess,0,1,0,
pink,0,1,0,
nunca,0,1,0,
needed,0,1,0,
minutes,0,1,0,
lake,0,1,0,
hay,0,1,0,
happening,0,1,0,
feelings,0,1,0,
dream,0,0,1,
dans,0,1,0,
cara,0,1,0,
bitch,1,0,0,
answer,0,1,0,
],0,0,0,
\u26c4,0,1,0,
\u00e8,0,1,0,
2nd,0,1,0,
#special,0,0,1,
#senior,0,1,0,
#selfies,0,1,0,
#positivity,0,0,1,
#photoshoot,0,1,0,
#passion,0,0,1,
#girly,0,1,0,
#ginger,0,1,0,
#clothes,0,1,0,
#alcohol,0,1,0,
tudo,0,1,0,
tengo,0,1,0,
sunset,0,1,0,
sol,0,1,0,
plus,0,1,0,
pics,0,1,0,
muy,0,1,0,
kakak,0,1,0,
july,0,1,0,
hand,0,0,1,
fall,0,1,0,
est,0,1,0,
america,0,1,0,
\uff0c,0,1,0,
4th,0,1,0,
#vacations,0,1,0,
#uk,0,1,0,
#tokyo,0,1,0,
#smoke,0,1,0,
#shirt,0,1,0,
#redhair,0,1,0,
#playing,0,0,1,
#playa,0,1,0,
#ny,0,1,0,
#meow,0,1,0,
#instapict,0,1,0,
#instaframe,0,1,0,
#horse,0,1,0,
#havingfun,0,1,0,
#gold,0,1,0,
#dancing,0,1,0,
#curly,0,1,0,
#cartoon,0,1,0,
#bath,0,1,0,
#actor,0,1,0,
understand,0,1,0,
uma,0,1,0,
tv,0,1,0,
tuesday,0,1,0,
ta,0,1,0,
sur,0,1,0,
self,0,1,0,
probably,0,1,0,
past,0,1,0,
needs,0,1,0,
move,0,1,0,
luck,0,0,1,
lots,0,1,0,
hahahaha,0,1,0,
felt,0,1,0,
cup,0,1,0,
collection,0,1,0,
boo,0,1,0,
babe,0,1,0,
aqui,0,1,0,
\ud83d\ude18,0,1,0,
\u0e23,0,1,0,
21,0,1,0,
18,0,1,0,
#what,0,1,0,
#weird,1,0,0,
#teacher,0,1,0,
#sushi,0,1,0,
#sotrue,0,1,0,
#pencil,0,1,0,
#missher,0,1,0,
#men,0,1,0,
#fish,0,1,0,
#familytime,0,1,0,
#familia,0,1,0,
#damn,1,0,0,
#boston,0,1,0,
#bike,0,1,0,
#badday,0,1,0,
#amor,0,0,1,
#2015,0,1,0,
xmas,0,1,0,
wednesday,0,1,0,
wat,0,1,0,
stupid,1,0,0,
simple,0,1,0,
seems,0,1,0,
santa,0,1,0,
non,0,1,0,
meal,0,1,0,
mad,1,0,0,
kiss,0,0,1,
jagalah,0,1,0,
future,0,1,0,
forgot,0,1,0,
eh,0,1,0,
bus,0,1,0,
bright,0,0,1,
bestfriend,0,1,0,
beat,0,1,0,
air,0,1,0,
\u00bf,0,1,0,
<,0,0,0,
0,0,0,0,
/8,0,1,0,
#vegas,0,1,0,
#truelove,0,1,0,
#toy,0,1,0,
#tagsforlike,0,1,0,
#student,0,1,0,
#singer,0,1,0,
#santa,0,1,0,
#running,0,1,0,
#pets,0,1,0,
#make,0,1,0,
#justinbieber,0,1,0,
#istanbul,0,1,0,
#imissyou,0,1,0,
#highschool,0,1,0,
#guitar,0,1,0,
#french,0,1,0,
#followers,0,1,0,
#die,1,0,0,
#collage,0,1,0,
#club,0,1,0,
#bride,0,1,0,
#body,0,1,0,
#boanoite,0,1,0,
#bikini,0,1,0,
woman,0,1,0,
wee,0,1,0,
visit,0,1,0,
tidur,0,1,0,
telling,0,1,0,
spend,0,1,0,
seorang,0,1,0,
retweet,0,1,0,
pool,0,1,0,
moments,0,1,0,
memeluk,0,1,0,
listening,0,1,0,
less,0,1,0,
lady,0,1,0,
ig,0,1,0,
glasses,0,1,0,
followers,0,1,0,
fact,0,1,0,
een,0,1,0,
dias,0,1,0,
des,0,1,0,
bem,0,1,0,
band,0,1,0,
awww,0,1,0,
amigos,0,1,0,
adiknya,0,1,0,
accident,1,0,0,
#venezuela,0,1,0,
#vain,1,0,0,
#tragedy,1,0,0,
#tear,0,1,0,
#stress,1,0,0,
#star,0,1,0,
#misshim,0,1,0,
#lifestyle,0,1,0,
#instahub,0,1,0,
#hotel,0,1,0,
#father,0,1,0,
#fake,1,0,0,
worth,0,0,1,
wonder,0,1,0,
vs,0,1,0,
voc\u00ea,0,1,0,
treat,0,0,1,
thats,0,1,0,
talking,0,1,0,
spending,0,1,0,
share,0,0,1,
sexy,0,0,1,
screen,0,1,0,
save,0,0,1,
qui,0,1,0,
quem,0,1,0,
posted,0,1,0,
moving,0,1,0,
melhor,0,1,0,
lucky,0,0,1,
looked,0,1,0,
listen,0,1,0,
jajaja,0,1,0,
hospital,0,1,0,
fell,0,1,0,
fat,0,1,0,
familia,0,1,0,
cover,0,1,0,
chicken,0,1,0,
[,0,0,0,
#yes,0,0,1,
#window,0,1,0,
#uae,0,1,0,
#sweden,0,1,0,
#rt,0,1,0,
#piercing,0,1,0,
#missit,0,1,0,
#loves,0,0,1,
#ice,0,1,0,
#film,0,1,0,
#felicidad,0,1,0,
#canon,0,1,0,
#blond,0,1,0,
#birthdaygirl,0,1,0,
#bag,0,1,0,
#babies,0,1,0,
woke,0,1,0,
wishes,0,0,1,
upset,1,0,0,
university,0,1,0,
uni,0,1,0,
truly,0,0,1,
text,0,1,0,
sucks,1,0,0,
spring,0,1,0,
sin,1,0,0,
realize,0,1,0,
muito,0,1,0,
mt,0,1,0,
lindo,0,1,0,
knew,0,1,0,
k,0,0,0,
international,0,1,0,
gente,0,1,0,
games,0,1,0,
football,0,1,0,
eve,0,1,0,
est\u00e1,0,1,0,
dreams,0,0,1,
cried,1,0,0,
couple,0,1,0,
card,0,1,0,
cafe,0,1,0,
bitches,1,0,0,
become,0,1,0,
au,0,1,0,
able,0,1,0,
\u2615,0,1,0,
\u0e14,0,1,0,
:-D,0,0,1,
(8,0,0,1,
#video,0,1,0,
#sandy,0,1,0,
#prom,0,1,0,
#philippines,0,1,0,
#need,0,1,0,
#ipad,0,1,0,
#hand,0,0,1,
#fotorus,0,1,0,
#exam,0,1,0,
#driving,0,1,0,
#drama,0,1,0,
#curlyhair,0,1,0,
#clown,0,1,0,
#celebrate,0,0,1,
#canada,0,1,0,
#camera,0,1,0,
#bird,0,1,0,
#barcelona,0,1,0,
#bali,0,1,0,
#babyboy,0,1,0,
yummy,0,0,1,
worry,1,0,0,
word,0,1,0,
warm,0,0,1,
ugly,1,0,0,
turned,0,1,0,
train,0,1,0,
town,0,1,0,
ti,0,1,0,
studio,0,1,0,
sooo,0,1,0,
sis,0,1,0,
paris,0,1,0,
min,0,1,0,
longer,0,1,0,
later,0,1,0,
i'd,0,1,0,
hurts,1,0,0,
ho,0,1,0,
het,0,1,0,
hear,0,1,0,
harry,0,1,0,
farewell,0,1,0,
estoy,0,1,0,
driving,0,1,0,
dress,0,1,0,
dios,0,1,0,
dark,0,1,0,
cross,0,1,0,
color,0,1,0,
cheer,0,0,1,
cannot,0,1,0,
brought,0,1,0,
bien,0,1,0,
bff,0,0,1,
ball,0,1,0,
ate,0,1,0,
\u2639,0,1,0,
\u2614,0,1,0,
355,0,1,0,
#words,0,1,0,
#weed,0,1,0,
#ugh,1,0,0,
#toronto,0,1,0,
#strength,0,0,1,
#sport,0,1,0,
#soccer,0,1,0,
#sigh,0,0,1,
#scarf,0,1,0,
#roses,0,1,0,
#raining,0,1,0,
#prayers,0,1,0,
#paint,0,1,0,
#late,0,1,0,
#lady,0,1,0,
#instame,0,1,0,
#india,0,1,0,
#heartbreak,1,0,0,
#glass,0,1,0,
#doodle,0,1,0,
#dont,0,1,0,
#diet,0,1,0,
#colours,0,1,0,
#christmastree,0,1,0,
#bitch,1,0,0,
#18,0,1,0,
yung,0,1,0,
ve,0,1,0,
turn,0,1,0,
stone,0,1,0,
station,0,1,0,
square,0,1,0,
soul,0,1,0,
rock,0,1,0,
quote,0,1,0,
quien,0,1,0,
piece,0,1,0,
photos,0,1,0,
order,0,1,0,
line,0,1,0,
jaja,0,1,0,
idea,0,1,0,
goodnight,0,1,0,
earlier,0,1,0,
double,0,1,0,
buen,0,1,0,
bc,0,1,0,
ask,0,1,0,
asi,0,1,0,
aren't,0,1,0,
angels,0,1,0,
\u00a3,0,1,0,
@harry_styles,0,1,0,
50,0,1,0,
#wonderful,0,0,1,
#thewalkingdead,0,1,0,
#singing,0,1,0,
#seniors,0,1,0,
#ripcorymonteith,0,1,0,
#respect,0,0,1,
#player,0,1,0,
#mum,0,1,0,
#mountain,0,1,0,
#memory,0,1,0,
#loveu,0,1,0,
#lipstick,0,1,0,
#legs,0,1,0,
#lebanon,0,1,0,
#laughter,0,0,1,
#laughing,0,0,1,
#kitten,0,1,0,
#ink,0,1,0,
#gifts,0,1,0,
#full,0,1,0,
#followforfollow,0,1,0,
#farewell,0,1,0,
#emotions,0,1,0,
#doubletap,0,1,0,
#deep,0,1,0,
#cumplea\u00f1os,0,1,0,
#comeback,0,1,0,
#chilling,1,0,0,
#chicken,0,1,0,
#catsofinstagram,0,1,0,
#brokenheart,0,1,0,
#belieber,0,1,0,
#band,0,1,0,
#again,0,1,0,
#after,0,1,0,
til,0,1,0,
threw,0,1,0,
thankful,0,0,1,
star,0,1,0,
soy,0,1,0,
sold,0,1,0,
sempre,0,1,0,
restaurant,0,1,0,
pray,0,0,1,
positive,0,0,1,
normal,0,1,0,
milk,0,1,0,
makeup,0,1,0,
lives,0,1,0,
ka,0,1,0,
j,0,0,0,
eye,0,1,0,
emotional,0,0,1,
dude,0,1,0,
drinking,0,1,0,
cuando,0,1,0,
ce,0,1,0,
bike,0,1,0,
ben,0,1,0,
apparently,0,1,0,
\u0e2a,0,1,0,
@pharrell,0,1,0,
-_-,0,1,0,
#workflow,0,1,0,
#valentinesday,0,1,0,
#sp,0,1,0,
#relationship,0,1,0,
#redhead,0,1,0,
#pissed,1,0,0,
#pinquotes,0,1,0,
#phone,0,1,0,
#meme,0,1,0,
#malaysia,0,1,0,
#lovinglife,0,1,0,
#lifeisgood,0,1,0,
#jesus,0,1,0,
#jeans,0,1,0,
#instagramhub,0,1,0,
#inspired,0,0,1,
#igaddict,0,1,0,
#hug,0,0,1,
#ff,0,0,1,
#faith,0,0,1,
#egypt,0,1,0,
#date,0,1,0,
#cupcake,0,1,0,
#china,0,1,0,
#champagne,0,0,1,
#bunny,0,1,0,
#bittersweet,1,0,0,
women,0,1,0,
wife,0,1,0,
uncle,0,1,0,
tried,0,1,0,
tickets,0,1,0,
support,0,0,1,
sonrisa,0,1,0,
small,0,1,0,
sat,0,1,0,
reunited,0,1,0,
resort,0,1,0,
pas,0,1,0,
papa,0,1,0,
page,0,1,0,
packing,0,1,0,
nd,0,1,0,
momentos,0,1,0,
momento,0,1,0,
lose,1,0,0,
likes,0,0,1,
important,0,0,1,
hora,0,1,0,
hari,0,1,0,
fresh,0,0,1,
felicidade,0,1,0,
drunk,1,0,0,
dis,0,1,0,
daughter,0,1,0,
cookies,0,1,0,
childhood,0,1,0,
center,0,1,0,
bag,0,1,0,
aqu\u00ed,0,1,0,
\ud83d\ude01,0,1,0,
\u0e32,0,1,0,
\u0e07,0,1,0,
\u00e7a,0,1,0,
#vida,0,1,0,
#tour,0,1,0,
#teeth,0,1,0,
#swim,0,1,0,
#studio,0,1,0,
#restinpeace,0,1,0,
#rainyday,0,1,0,
#pig,0,1,0,
#off,0,1,0,
#mourning,1,0,0,
#mothers,0,1,0,
#korea,0,1,0,
#funtimes,0,1,0,
#foto,0,1,0,
#facebook,0,1,0,
#epic,0,1,0,
#eid,0,1,0,
#domingo,0,1,0,
#do,0,1,0,
#country,0,1,0,
#chinese,0,1,0,
#chillin,0,1,0,
#chihuahua,0,1,0,
#bear,0,1,0,
you've,0,1,0,
write,0,1,0,
viernes,0,1,0,
vacation,0,1,0,
une,0,1,0,
tem,0,1,0,
somebody,0,1,0,
shooting,0,1,0,
reality,0,1,0,
rainy,1,0,0,
prayers,0,1,0,
per,0,1,0,
mother's,0,1,0,
momma,0,1,0,
island,0,1,0,
idk,1,0,0,
horrible,1,0,0,
hanging,0,1,0,
hall,0,1,0,
hace,0,1,0,
grandma,0,1,0,
ending,0,1,0,
easy,0,0,1,
dropped,0,1,0,
disney,0,1,0,
complete,0,1,0,
clothes,0,1,0,
bonding,0,1,0,
bird,0,1,0,
anniversary,0,1,0,
\u0e2d,0,1,0,
\u02d8,0,1,0,
Err:511,0,1,0,
2015,0,1,0,
14,0,1,0,
#wisdom,0,0,1,
#sweets,0,0,1,
#storm,0,1,0,
#she,0,1,0,
#shame,1,0,0,
#reading,0,1,0,
#ohwell,0,1,0,
#oh,0,1,0,
#nye,0,1,0,
#november,0,1,0,
#newyears,0,1,0,
#mothersday,0,1,0,
#magic,0,1,0,
#loner,1,0,0,
#japanese,0,1,0,
#january,0,1,0,
#ibiza,0,1,0,
#homework,0,1,0,
#have,0,1,0,
#guys,0,1,0,
#funeral,1,0,0,
#foodie,0,1,0,
#final,0,1,0,
#fiesta,0,0,1,
#fan,0,0,1,
#doggy,0,1,0,
#costume,0,1,0,
#cookies,0,1,0,
#coke,0,1,0,
#chicago,0,1,0,
#bw,0,1,0,
#aww,0,1,0,
#australia,0,1,0,
#adventure,0,0,1,
#21,0,1,0,
#1d,0,1,0,
{,0,0,0,
yep,0,0,1,
walking,0,1,0,
takes,0,1,0,
style,0,1,0,
student,0,1,0,
senior,0,1,0,
regalo,0,1,0,
packed,0,1,0,
nephew,0,1,0,
ir,0,1,0,
four,0,1,0,
followed,0,1,0,
fish,0,1,0,
fail,1,0,0,
era,0,1,0,
episode,0,1,0,
earth,0,1,0,
didnt,0,1,0,
december,0,1,0,
closed,0,1,0,
cheese,0,1,0,
candy,0,1,0,
camp,0,1,0,
body,0,1,0,
between,0,1,0,
asked,0,1,0,
alot,0,1,0,
alive,0,0,1,
ahora,0,1,0,
\u00b0,0,1,0,
#yoga,0,1,0,
#xoxo,0,0,1,
#whatever,0,1,0,
#war,1,0,0,
#walking,0,1,0,
#vodka,0,1,0,
#vegan,0,1,0,
#ukraine,0,1,0,
#tattoos,0,1,0,
#sunrise,0,1,0,
#realtalk,0,1,0,
#panda,0,1,0,
#never,0,1,0,
#necklace,0,1,0,
#mac,0,1,0,
#instapicture,0,1,0,
#inst,0,1,0,
#inspire,0,0,1,
#handmade,0,1,0,
#exercise,0,1,0,
#everyday,0,1,0,
#english,0,1,0,
#de,0,1,0,
#brasil,0,1,0,
#bless,0,0,1,
xxx,0,1,0,
weird,1,0,0,
stuck,1,0,0,
sisters,0,1,0,
shows,0,1,0,
sent,0,1,0,
sem,0,1,0,
sale,0,1,0,
ruined,1,0,0,
ruin,1,0,0,
rather,0,1,0,
quite,0,1,0,
po,1,0,0,
personas,0,1,0,
note,0,1,0,
lagi,0,1,0,
instead,0,1,0,
haircut,0,1,0,
gunna,0,1,0,
forward,0,1,0,
fave,0,0,1,
called,0,1,0,
c'est,0,1,0,
bout,0,1,0,
boots,0,1,0,
angel,0,1,0,
ah,0,1,0,
\ud83d\ude14,0,1,0,
\ud83d\ude02,0,1,0,
\u0432\u0441\u0435,0,1,0,
\u00faltimo,0,1,0,
\u00b4,0,1,0,
@dealer_seo,0,1,0,
9/11,0,1,0,
.......,0,1,0,
#winner,0,0,1,
#webcamtoy,0,1,0,
#town,0,1,0,
#tanning,0,1,0,
#stay,0,1,0,
#squaready,0,1,0,
#sosad,0,1,0,
#socute,0,1,0,
#season,0,1,0,
#roadtrip,0,1,0,
#reunion,0,1,0,
#rest,0,1,0,
#outside,0,1,0,
#orlando,0,1,0,
#nutella,0,1,0,
#nigth,0,1,0,
#nerd,1,0,0,
#natal,0,1,0,
#legend,0,1,0,
#leave,1,0,0,
#justin,0,1,0,
#island,0,1,0,
#humor,0,0,1,
#gratitude,0,0,1,
#goodluck,0,1,0,
#germany,0,1,0,
#frozen,0,1,0,
#fly,0,1,0,
#feet,0,1,0,
#early,0,1,0,
#dogsofinstagram,0,1,0,
#customer,0,1,0,
#colour,0,1,0,
#cant,0,1,0,
#boatarde,0,1,0,
#ball,0,1,0,
voy,0,1,0,
toy,0,1,0,
totally,0,1,0,
swim,0,1,0,
sit,0,1,0,
shame,1,0,0,
service,0,1,0,
rose,0,1,0,
power,0,1,0,
poco,0,1,0,
mummy,0,1,0,
meeting,0,1,0,
media,0,1,0,
match,0,1,0,
main,0,1,0,
lmfao,0,0,1,
leaves,0,1,0,
learn,0,1,0,
ke,0,1,0,
jack,0,1,0,
heaven,0,0,1,
healthy,0,0,1,
hands,0,1,0,
grand,0,0,1,
graduation,0,1,0,
gettin,0,1,0,
ga,0,1,0,
following,0,1,0,
fly,0,1,0,
fb,0,1,0,
estar,0,1,0,
deus,0,1,0,
despu\u00e9s,0,1,0,
congrats,0,0,1,
church,0,1,0,
camera,0,1,0,
brings,0,1,0,
breaks,0,1,0,
bir,0,1,0,
apart,0,1,0,
algo,0,1,0,
\u0e1b,0,1,0,
\u0447\u0442\u043e,0,1,0,
@niallofficial,0,1,0,
@enrique305,0,1,0,
11,0,1,0,
(,,0,0,1
#win,0,0,1,
#tongue,0,1,0,
#textgram,0,1,0,
#sogood,0,1,0,
#singapore,0,1,0,
#shooting,0,1,0,
#shine,0,1,0,
#september,0,1,0,
#road,0,1,0,
#river,0,1,0,
#ride,0,1,0,
#pumpkin,0,1,0,
#pale,0,1,0,
#nail,0,1,0,
#moody,1,0,0,
#mcdonalds,0,1,0,
#living,0,1,0,
#lamborghini,0,1,0,
#jump,0,1,0,
#islam,0,1,0,
#instalife,0,1,0,
#ilove,0,1,0,
#hurts,1,0,0,
#hilarious,0,0,1,
#hijab,0,1,0,
#galau,0,1,0,
#ending,0,1,0,
#drinking,0,1,0,
#cupcakes,0,1,0,
#cocacola,0,1,0,
#cloudy,0,1,0,
#clean,0,0,1,
#bridge,0,1,0,
#boat,0,1,0,
#bf,0,1,0,
#bbq,0,1,0,
yup,0,1,0,
window,0,1,0,
ways,0,1,0,
vai,0,1,0,
update,0,1,0,
throwback,0,1,0,
sushi,0,1,0,
stadium,0,1,0,
south,0,1,0,
sign,0,1,0,
shine,0,1,0,
session,0,1,0,
send,0,1,0,
scene,0,1,0,
s\u00e1bado,0,1,0,
rs,0,1,0,
ran,0,1,0,
quando,0,1,0,
pure,0,1,0,
pls,0,0,1,
near,0,1,0,
natal,0,1,0,
nail,0,1,0,
mountain,0,1,0,
misses,1,0,0,
mes,0,1,0,
menos,0,1,0,
leg,0,1,0,
laughing,0,0,1,
kitchen,0,1,0,
keeps,0,1,0,
image,0,1,0,
ik,0,1,0,
http://,0,1,0,
growing,0,0,1,
goodmorning,0,1,0,
finish,0,1,0,
fam,0,1,0,
depressing,1,0,0,
delicious,0,0,1,
das,0,1,0,
cupcakes,0,1,0,
cookie,0,1,0,
clean,0,0,1,
choice,0,1,0,
cheers,0,0,1,
celebrate,0,0,1,
building,0,1,0,
album,0,1,0,
absolutely,0,1,0,
`,0,0,0,
__,0,1,0,
\u0e1a,0,1,0,
\u0e04,0,1,0,
\u0434\u0435\u043d\u044c,0,1,0,
,D,0,0,1
40,0,1,0,
24,0,1,0,
#vans,0,1,0,
#texas,0,1,0,
#sundayfunday,0,1,0,
#stressed,1,0,0,
#soul,0,1,0,
#soccergame,0,1,0,
#see,0,1,0,
#popular,0,0,1,
#poland,0,1,0,
#piccollage,0,1,0,
#pen,0,1,0,
#peaceful,0,0,1,
#notcool,0,1,0,
#monster,0,1,0,
#meal,0,1,0,
#manga,0,1,0,
#linda,0,1,0,
#latergram,0,1,0,
#justme,0,1,0,
#joke,0,0,1,
#instaquote,0,1,0,
#indie,0,1,0,
#idol,0,1,0,
#high,0,1,0,
#her,0,1,0,
#he,0,1,0,
#happygirl,0,1,0,
#grunge,0,1,0,
#growingup,0,1,0,
#fruit,0,1,0,
#footballplayer,0,1,0,
#footballmatch,0,1,0,
#footballislife,0,1,0,
#england,0,1,0,
#dope,0,1,0,
#comfy,0,1,0,
#cloud,0,1,0,
#bieber,0,1,0,
#basketball,0,1,0,
#bar,0,1,0,
#architecture,0,1,0,
west,0,1,0,
vous,0,1,0,
verano,0,1,0,
using,0,1,0,
tattoo,0,1,0,
taste,0,1,0,
strong,0,0,1,
straight,0,0,1,
stole,0,1,0,
sleeping,0,1,0,
series,0,1,0,
round,0,1,0,
river,0,1,0,
race,0,1,0,
quick,0,1,0,
presents,0,1,0,
pinquotes,0,1,0,
paper,0,1,0,
orange,0,1,0,
novo,0,1,0,
ne,0,1,0,
ma\u00f1ana,0,1,0,
louis,0,1,0,
lock,0,1,0,
ladies,0,1,0,
key,0,1,0,
jvmuqmddoi,0,1,0,
hold,0,1,0,
hide,1,0,0,
glass,0,1,0,
girlfriend,0,1,0,
foi,0,1,0,
finding,0,1,0,
fantastic,0,0,1,
fake,1,0,0,
ended,0,1,0,
dying,0,1,0,
drawing,0,1,0,
desde,0,1,0,
decided,0,1,0,
cutie,0,0,1,
caught,0,1,0,
bunny,0,1,0,
buenas,0,1,0,
bottle,0,1,0,
books,0,1,0,
blog,0,1,0,
